,dst_host_count,flag_S3,dst_host_srv_count,hot,same_srv_rate,Protocol_type_tcp,dst_host_same_src_port_rate,dst_host_rerror_rate,count,dst_host_serror_rate,srv_count,Protocol_type_icmp,label
0,1,0,1,0,1,1,0,0,0.066536204,0,0.133072407,0,0
1,0.019607843,0,1,0,1,1,0.2,0,0.009784736,0.2,0.01369863,0,0
2,0.011764706,0,1,0,1,1,0.33,0,0.001956947,0,0.001956947,0,0
3,0.105882353,0,1,0,1,1,0.04,0,0.003913894,0,0.003913894,0,0
4,1,0,0.007843137,0,0.33,0,0.98,0,0.005870841,0,0.001956947,0,0
5,0.047058824,0,1,0,1,1,0.08,1,0.001956947,0,0.001956947,0,0
6,0.019607843,0,1,0,1,1,0.2,0,0.009784736,0,0.009784736,0,0
7,1,0,0.003921569,0,0.2,0,0.95,0,0.009784736,0,0.001956947,0,0
8,0.219607843,0,0.180392157,0,1,1,0.14,0.04,0.003913894,0,0.003913894,0,0
9,0.647058824,0,1,0,1,1,0.01,0.02,0.01369863,0,0.017612524,0,0
10,0.109803922,0,0.02745098,0,1,1,0.04,0.18,0.001956947,0,0.001956947,0,0
11,0.137254902,0,1,0,1,1,0.03,0.2,0.001956947,0,0.003913894,0,0
12,1,0,0.909803922,0,1,0,0,0,0.072407045,0,0.225048924,0,0
13,1,0,1,0,1,1,0,0,0.015655577,0,0.021526419,0,0
14,0.815686275,0,1,0,1,1,0,0,0.001956947,0,0.001956947,0,0
15,0.109803922,0,1,0,1,1,0.04,0.07,0.050880626,0,0.050880626,0,0
16,1,0,1,0,1,0,0,0,0.135029354,0,0.135029354,0,0
17,0.156862745,0,1,0,1,1,0.03,0,0.003913894,0,0.003913894,0,0
18,0.301960784,0,0.341176471,0,1,1,0.01,0,0.001956947,0,0.001956947,0,0
19,1,0,0.996078431,0,1,0,0,0,0.13111546,0,0.287671233,0,0
20,0.368627451,0,1,0,1,1,0.01,0,0.031311155,0,0.054794521,0,0
21,0.105882353,0,1,0,1,1,0.04,0,0.005870841,0,0.005870841,0,0
22,0.776470588,0,0.235294118,0,1,1,0.3,0,0.011741683,0,0.011741683,0,0
23,0.137254902,0,1,0,1,1,0.03,0,0.023483366,0,0.023483366,0,0
24,0.035294118,0,1,0,1,1,0.11,0,0.005870841,0,0.005870841,0,0
25,0.101960784,0,1,0,1,1,0.04,0,0.005870841,0,0.005870841,0,0
26,1,0,1,0,1,1,0,0,0.048923679,0,0.048923679,0,0
27,0.411764706,0,1,0,1,1,0.01,0,0.009784736,0,0.009784736,0,0
28,0.619607843,0,1,0,1,1,0.01,0,0.003913894,0,0.003913894,0,0
29,0.623529412,0,0.231372549,0,1,1,0.34,0,0.001956947,0,0.001956947,0,0
30,0.035294118,0,1,0,1,1,0.11,0,0.017612524,0,0.017612524,0,0
31,1,0,0.043137255,0,0.92,0,0.04,0,0.023483366,0,0.021526419,0,0
32,1,0,1,0,1,1,0,0,0.031311155,0,0.031311155,0,0
33,0.047058824,0,1,0,1,1,0.08,0,0.017612524,0,0.017612524,0,0
34,0.309803922,0,1,0,1,1,0.01,0,0.076320939,0,0.082191781,0,0
35,0.254901961,0,0.341176471,0,1,1,0.32,0.02,0.003913894,0,0.003913894,0,0
36,0.603921569,0,0.603921569,0,1,0,1,0,0.003913894,0,0.003913894,1,0
37,0.050980392,0,1,0,1,1,0.08,0,0.003913894,0,0.003913894,0,0
38,1,0,1,0,1,0,0.01,0,0.242661448,0,0.371819961,0,0
39,0.207843137,0,0.88627451,0,1,0,0.87,0,0.01369863,0.09,0.025440313,0,0
40,0.4,0,0.08627451,0,1,0,0.09,0,0.001956947,0,0.003913894,0,0
41,0.635294118,0,0.478431373,0,1,1,0.01,0,0.001956947,0,0.003913894,0,0
