xServ,sbytes,dbytes,rate,sload,dload,sinpkt,sjit,djit,stcpb,dtcpb,dmean,response_body_len,attack_cat
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,3
999,142,0,166666.6608,94666664,0,0.006,0,0,0,0,0,0,8
7,114,0,125000.0003,57000000,0,0.008,0,0,0,0,0,0,6
999,104,0,500000.0013,208000000,0,0.002,0,0,0,0,0,0,1
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,1
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,4
999,600,268,33.84026,9745.995117,4042.783203,45.561778,2222.266505,91.281344,564399245,1201050724,45,0,8
999,1112,716,23.056406,9902.120117,6086.891113,69.213091,3599.080976,150.843672,164934412,1109460743,90,0,1
2,566,268,25.698705,6990.047852,3070.138672,61.144,3330.98013,146.704094,681312921,2529653572,45,0,1
999,200,0,200000.0051,160000000,0,0.005,0,0,0,0,0,0,4
2,830,1134,16.047441,5641.147461,7498.874512,117.706556,6102.668305,255.756219,1853677305,1202418679,142,165,0
999,2558,23532,1367.11171,336883.3438,3101757,1.509564,95.216927,85.156398,3334583271,1244163044,560,0,0
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
999,82,0,333333.3215,109333328,0,0.003,0,0,0,0,0,0,4
999,1046,712,18.695268,7548.952148,4904.063965,86.691548,4673.086914,182.333516,2007350869,2349225611,89,0,1
999,1630,2160,0.880529,311.757538,407.559052,2092.044053,279303.0308,9632.078,279847219,196600039,135,0,2
999,180,0,90909.0902,65454544,0,0.011,0,0,0,0,0,0,3
7,114,0,111111.1072,50666664,0,0.009,0,0,0,0,0,0,6
2,1246,268,78.742637,47119.59375,9407.120117,19.465111,1114.137096,50.733242,1902566689,4014058197,45,0,5
999,200,0,125000.0003,100000000,0,0.008,0,0,0,0,0,0,3
999,534,354,14.663388,3319.101074,2139.129639,122.448111,8652.007826,198.409875,1859843698,1145592012,44,0,0
999,790,816,55.720193,12118.11035,12514.34277,37.274153,1888.137821,1582.680918,3532240546,1983435123,58,0,1
7,114,0,333333.3215,152000000,0,0.003,0,0,0,0,0,0,6
999,142,0,250000.0006,142000000,0,0.004,0,0,0,0,0,0,8
999,200,0,90909.0902,72727272,0,0.011,0,0,0,0,0,0,3
7,114,0,500000.0013,228000000,0,0.002,0,0,0,0,0,0,6
2,814,354,6.837096,2358.395752,997.411621,276.270667,17933.72897,697.886562,2942856519,864613128,44,0,5
999,1280,0,20.607666,10551.125,0,48.525633,52.253805,0,0,0,0,0,4
999,1670,0,100000.0025,668000000,0,0.01,0,0,0,0,0,0,1
999,168,0,125000.0003,84000000,0,0.008,0,0,0,0,0,0,7
999,200,0,142857.1409,114285712,0,0.007,0,0,0,0,0,0,3
999,146,178,2673.796684,520499.0938,634581.0625,0.01,0,0,0,0,89,0,0
999,500,354,22.290697,4720.382812,3251.819336,81.779444,5001.604883,144.235141,1576877966,2544401091,44,0,8
999,200,0,333333.3215,266666656,0,0.003,0,0,0,0,0,0,7
